full_name,birth_date,subdivision_id
Mr. Phillip Edwards,2005-08-14,457
Mr. Matt Harper,2005-08-18,1144
Mrs. Jennifer Garner,2018-03-20,448
Mrs. Adeline Lambert,2001-01-19,1885
Mr. Enoch Stanton,2006-07-18,43
Mr. Barry Moreno,2005-02-03,1359
Mrs. Jaylene Ballard,2003-07-02,1990
Mr. Aiden Vane,2019-10-15,1460
Miss Maddison Hammond,2021-11-20,279
Mr. Eduardo Owens,1996-07-11,1441
Mr. Barry James,1999-10-26,90
Mr. William Quinton,1991-12-25,346
Mr. Harry Alldridge,1993-07-09,81
Mrs. Marissa Ainsworth,1993-03-13,1169
Mrs. Margaret Doherty,2006-03-22,517
Mr. Elijah Roman,2004-07-12,1448
Mr. Tyson Ross,1994-12-02,648
Mr. Chad Watson,2008-11-23,873
Miss Violet Reading,2021-01-13,633
Mrs. Margot Nicolas,1996-10-30,645
Miss Daria Cowan,2012-11-15,1943
Miss Melody Exton,2016-05-03,653
Mrs. Maya Pearce,1997-08-28,785
Mr. Bart Ashley,1992-12-16,500
Mr. Ramon Ianson,2011-09-11,483
Mr. Owen Potts,1994-09-24,1362
Mrs. Carol Taylor,2018-09-18,15
Mr. Erick Huggins,1991-09-01,1195
Mrs. Eileen Gilmour,2010-08-19,935
Mr. Nathan Murray,2010-03-06,2
Miss Ember Neal,2020-11-24,217
Miss Logan Richards,2014-08-29,1221
Miss Cassandra Willis,2004-11-02,309
Mrs. Harriet Alcroft,2006-12-15,1584
Miss Carol Reid,2011-12-10,1859
Ms. Selena Mcgee,1998-04-21,877
Mrs. Jamie Clayton,2012-03-27,826
Mr. Daron Reyes,1996-12-07,1347
Miss Julia Wigley,2002-10-09,381
Mr. Daron Cooper,2013-06-24,1749
Mr. William Donovan,2019-03-06,1730
Mr. Barney Tobin,2001-09-08,48
Miss Celina Thornton,2012-03-10,322
Mr. Boris Turner,2002-10-06,1692
Miss Helen Rogan,1991-08-02,989
Ms. Monica Bryant,1990-12-23,873
Mr. Ramon Rossi,2020-04-25,1128
Mr. Chadwick Wren,2019-02-16,1151
Mr. Julius Webster,1993-01-30,556
Mr. Julius Wigley,1990-05-08,718
Mr. Enoch Stuart,2002-06-22,1207
Mr. Leroy Donovan,2011-11-10,1454
Mr. Manuel Kerr,2011-03-02,1231
Miss Stella Moore,2004-07-09,1759
Mr. Eduardo Slater,2006-10-03,290
Mr. Denis Speed,2003-12-19,276
Mr. Jacob Chester,1998-11-26,616
Ms. Madelyn Drake,2006-08-10,1847
Miss Bernadette Underhill,2001-06-25,335
Mr. Domenic Morris,2002-09-13,71
Mr. Nate Richards,2005-12-16,1404
Mr. Chester Harrison,2000-10-13,1793
Mrs. Goldie Thomson,2002-02-01,746
Ms. Winnie Simpson,1992-02-29,518
Mrs. Sadie Taylor,1997-08-15,478
Mrs. Stella Baker,2020-09-05,1153
Mr. Tyson Farrant,2021-11-24,1464
Mr. Hayden Harper,2008-05-01,833
Miss Mina Nobbs,2002-02-03,1886
Mr. Hank Rainford,1999-01-29,1496
Mrs. Lillian Ogilvy,2014-06-01,951
Ms. Liv Thornton,2018-09-08,315
Ms. Cameron Gilmour,2001-07-29,1666
Miss Adalind Bell,1992-04-30,1234
Mr. Tyler Boyle,2002-07-06,355
Ms. Marie Logan,2021-10-05,1924
Mr. Ramon Slater,2004-04-09,626
Mrs. Carissa Snell,2005-12-28,624
Mr. Hayden Penn,1998-05-03,37
Mr. Manuel Coates,2016-07-05,1101
Ms. Emely Cox,1996-08-02,1765
Ms. Jmin Warner,2015-10-02,453
Miss Elise Dwyer,2000-10-09,1674
Mr. Mike Evans,1998-03-08,1869
Mr. Percy Barclay,2005-03-26,1609
Mr. Benny Benson,2008-04-30,1906
Mrs. Bree Truscott,2011-09-28,1545
Mrs. Estrella Stewart,2000-07-10,170
Mr. Jayden Faulkner,1994-03-12,817
Mrs. Carmen Whinter,1999-09-07,457
Mrs. Valentina Stone,2000-07-04,1863
Mr. David Flanders,1993-04-05,1748
Mr. Nathan Archer,2009-08-07,1990
Mr. Chester Lloyd,2019-10-18,508
Mrs. Maddison Oldfield,1991-11-16,1004
Mr. Nate Davies,2018-01-28,1565
Mr. William Evans,2015-08-25,1149
Miss Stephanie Riley,2011-07-21,1674
Mr. Marvin Fall,2019-06-21,605
Mr. Jack Vaughn,2021-08-08,1457
Mrs. Jmin Coll,1997-02-04,164
Mr. Barney Steer,1997-07-12,1505
Miss Crystal Clifford,2010-02-04,1144
Mr. Danny Cooper,1996-04-28,950
Mr. Maxwell Yang,2005-01-21,216
Mr. Benny Darcy,2014-07-02,575
Mr. Kurt Antcliff,2018-05-13,1018
Miss Erin Drew,2008-06-13,722
Mr. Alan Donnelly,2004-03-16,1682
Mr. Doug Stevens,2021-10-31,360
Mr. Tyler Cox,2000-10-23,1046
Mr. Chuck Walsh,2020-02-29,1474
Ms. Ruth Robinson,2001-05-31,1681
Mr. Julian Glass,1990-06-18,205
Mr. Denis Squire,2001-02-14,1910
Mrs. Angelina Cunningham,2012-06-29,1978
Mr. Bob Dallas,2001-09-01,59
Miss Courtney Chappell,2011-06-04,490
Mr. Phillip Nelson,2007-05-04,1247
Mrs. Selena Crawford,2007-01-21,1091
Mrs. Felicity Uttridge,1996-02-05,1179
Mrs. Logan Townend,2006-07-14,1148
Ms. Lauren Thomas,2013-06-27,548
Mr. Chester Gilmour,2015-07-20,1266
Mr. Ryan Stubbs,2005-04-02,1282
Mr. Alexander Roth,2018-03-19,317
Mr. Phillip Ross,1990-04-18,894
Ms. Cynthia Wilton,1991-10-18,752
Mrs. Tiffany Brennan,2021-01-01,1082
Mrs. Lauren Wright,1990-03-02,1972
Mr. Brad Warner,2005-11-02,1866
Mrs. Phoebe Woods,2019-02-26,1740
Mr. Marvin Dixon,2021-11-16,470
Ms. Valentina Armstrong,1994-05-20,179
Mrs. Mabel Baxter,1997-05-12,770
Ms. Vera Bingham,2014-06-20,432
Ms. Sienna Verdon,2013-12-13,1793
Mr. John Harrington,2021-10-27,991
Miss Jaylene Farrant,1994-02-28,1991
Mr. Domenic Yard,2005-04-08,24
Mr. Manuel Andrews,1996-07-24,1659
Mr. Matt Aldridge,2017-04-14,1941
Mrs. Brooklyn Dillon,1997-03-31,718
Mr. Bryon Rowe,1991-04-26,674
Mrs. Luna Hill,1996-11-29,991
Ms. Aeris Shelton,2014-03-11,1966
Mr. Alexander Gardner,2019-05-31,456
Ms. Grace Irving,2016-10-08,258
Mr. Domenic Garcia,2019-11-24,1599
Mrs. Adalie James,2003-02-11,1588
Mr. Owen Clifford,2017-05-31,931
Mr. Wade Jones,2021-10-26,1377
Mrs. Jackeline Hamilton,2018-02-10,71
Mr. Denis Drummond,1996-02-19,1505
Mr. Martin Stevens,2014-02-12,301
Mrs. Claire Bishop,2018-10-04,780
Mr. Tony Nayler,2010-12-07,179
Mr. Ethan Allen,2003-10-17,1579
Miss Cameron Saunders,1998-12-21,1843
Ms. Rosalie Darcy,2019-12-26,696
Ms. Ruth Pierce,1990-08-30,1620
Mrs. Greta Moore,2013-04-05,1848
Mr. Cedrick Weasley,2021-06-30,733
Mr. Peter Potts,2003-11-21,1853
Miss Hannah Oswald,1995-05-31,1059
Mrs. Andrea Hunt,2017-03-19,1231
Mr. Leroy Underhill,2004-02-23,493
Ms. Marie Richardson,2018-10-03,280
Ms. Raquel Gates,2010-04-07,1162
Mr. Johnny Weston,2001-11-10,973
Mr. Bob Jobson,2016-12-09,216
Mr. Martin Vaughan,2006-05-28,1331
Mr. Aiden James,2013-07-21,66
Mr. Kurt Patel,2014-10-10,129
Mr. Lucas Jenkin,2003-07-26,1478
Mr. Wade Norris,2021-04-05,519
Mr. Logan Kennedy,2010-12-19,1655
Mr. Marvin Woodley,2017-10-07,677
Mrs. Thea Lindop,2020-07-04,1295
Ms. Mayleen Ring,2010-03-04,39
Miss Taylor Knight,2021-05-15,1188
Mrs. Lillian Dempsey,2004-09-16,1801
Mrs. Marilyn Ogilvy,2012-10-23,1252
Mr. Lucas Whinter,2003-12-30,454
Miss Jacqueline Hudson,1992-08-07,1681
Miss Blake Casey,1996-03-08,47
Miss Charle Robertson,1997-03-28,1616
Mr. David Shaw,2005-06-22,1657
Mr. Caleb Owen,2021-02-12,1182
Mr. Jayden Gray,2000-07-10,1855
Miss Luna Farrow,1994-08-31,1291
Ms. Claire Michael,1994-02-10,1355
Mrs. Agnes Vollans,2012-03-11,1708
Miss Audrey Jones,2020-12-30,1793
Mr. Liam Reid,2010-07-29,1948
Mr. Maxwell Rigg,1995-05-12,283
Mr. Percy Isaac,1999-01-07,1019
Mrs. Gloria Young,2004-08-23,1676
